temperatura_c,umidade_pct,luz_adc,saudavel
20.6,92.7,809,0
8.9,73.0,208,0
23.2,68.8,1166,1
21.1,73.4,1918,1
17.8,76.1,2695,1
20.6,96.8,1883,0
21.9,67.1,1924,1
24.8,38.8,2809,0
15.0,77.2,1899,1
5.9,64.9,2330,0
8.9,67.5,465,0
20.3,68.3,2417,1
20.2,68.0,1376,1
8.3,77.4,1802,0
17.8,79.5,1734,1
18.4,78.6,1394,1
19.5,68.8,2769,1
10.0,73.4,2403,0
5.4,77.6,1714,0
16.3,73.1,2470,1
20.3,72.3,2475,1
34.9,50.3,3268,0
34.5,59.5,1315,0
24.0,71.4,2545,1
15.7,73.2,1860,1
17.2,68.9,1417,1
36.6,34.2,3441,0
16.4,64.3,1819,1
17.8,70.0,2323,1
20.6,77.4,1774,1
15.0,74.4,1445,1
6.4,61.5,2367,0
30.7,70.3,1711,0
31.0,55.4,2136,0
22.5,65.0,1673,1
18.7,63.9,1869,1
24.3,70.2,2636,1
16.8,73.9,2614,1
19.5,65.7,1000,1
32.4,58.5,3256,0
22.6,90.0,1114,0
19.2,72.8,2493,1
20.4,93.7,855,0
20.6,76.9,1748,1
24.1,21.1,2738,0
20.2,72.5,2094,1
22.7,66.4,1449,1
19.6,66.9,2313,1
20.6,70.9,1787,1
16.3,69.5,2575,1
30.7,51.3,909,0
22.1,90.3,712,0
17.9,66.3,2064,1
17.9,73.2,2344,1
24.6,91.0,1662,0
18.3,75.8,2392,1
19.0,26.7,1307,0
17.5,91.9,1820,0
26.3,35.5,1469,0
15.0,67.9,2411,1
24.3,64.6,2052,1
24.4,75.7,2186,1
22.3,69.0,1832,1
18.8,74.0,1469,1
19.6,63.6,2498,1
21.4,29.7,1330,0
21.6,69.1,2606,1
18.4,74.0,2003,1
21.7,75.2,2357,1
22.7,67.0,1786,1
19.1,68.2,2452,1
17.5,70.8,2743,1
18.6,94.0,888,0
18.8,72.9,1709,1
21.6,71.9,2145,1
17.4,75.9,1512,1
21.1,70.1,1299,1
