umidade,nitrogenio,fosforo,postassio,probabilidade_precipitacao,chuva_3h,bloqueio_meteorológico,estado_bomba,mes,hora
44.39086928708503,1,1,1,0.87,0.23,1,0,7,0
48.36965949347263,1,1,1,0.48,0.46,0,0,11,20
46.83196406340219,1,1,1,1.0,0.89,1,0,10,6
45.80605312632806,1,0,1,0.56,0.14,0,0,4,21
49.31563296640494,1,1,1,0.67,1.82,1,0,6,18
31.47624367513029,1,0,1,0.94,0.25,1,0,7,21
22.674883118234,1,1,1,0.49,4.34,1,0,11,23
42.90469973934021,1,1,1,0.03,0.95,0,0,11,4
22.736559326844308,1,1,1,0.88,0.49,1,0,12,8
48.70441450665986,1,1,0,0.97,1.54,1,0,8,21
38.77474353196413,1,1,1,0.19,0.05,0,0,9,23
52.21634968647098,1,0,1,0.62,0.34,1,0,8,21
57.25808007609248,1,1,1,0.7,1.2,1,0,2,15
30.62598573016309,1,1,1,0.63,0.86,1,0,7,14
46.149500403232814,1,1,1,0.52,1.74,0,0,10,18
46.6984177406231,0,1,1,0.08,1.47,0,0,5,17
32.294824597876406,1,1,1,0.93,2.2,1,0,1,22
46.9219767379542,1,1,0,0.19,0.54,0,0,2,5
43.247815941101145,1,1,1,0.87,0.06,1,0,3,22
30.413813918443736,0,1,1,0.95,0.11,1,0,1,8
37.82571853238684,1,1,1,0.62,0.11,1,0,2,19
23.71271311176289,0,0,1,0.28,0.51,0,0,9,14
45.74409343831866,1,0,1,0.46,1.03,0,0,8,19
32.15529945845733,0,1,1,0.02,0.54,0,0,7,9
35.296024908900094,0,1,1,0.66,0.55,1,0,9,10
55.553425350558754,1,1,1,0.18,1.42,0,0,6,11
26.449259512749126,1,1,1,0.47,0.85,0,0,12,20
10.552014828451224,1,1,0,0.19,0.39,0,0,1,18
41.87631755799217,1,1,1,0.96,0.29,1,0,1,8
25.92439039297267,1,1,1,0.94,1.21,1,0,9,22
37.05465154542457,1,1,0,0.9,1.15,1,0,3,16
55.2186380127315,1,0,1,0.18,0.28,0,0,2,2
42.43510158416122,1,1,0,0.28,0.0,0,0,6,4
48.767297369321895,1,1,1,0.3,0.17,0,0,11,2
48.66299824190552,1,1,1,0.75,0.86,1,0,12,1
43.65764426130758,1,1,1,0.6,0.47,1,0,10,16
56.42998108447921,1,1,1,0.25,0.3,0,0,1,9
28.548673741606784,1,1,1,0.97,0.21,1,0,5,21
56.02296650578437,1,1,1,0.59,2.91,1,0,4,12
33.11066764832381,0,1,1,0.91,0.21,1,0,10,3
58.70353559776326,1,1,1,0.38,0.66,0,0,4,2
36.23440178347043,1,0,1,0.63,0.73,1,0,2,1
33.54428556663689,1,1,1,0.04,0.8,0,1,11,0
10.0,1,1,1,0.3,4.56,1,0,4,22
57.01154699043738,1,1,1,0.23,2.21,1,0,12,15
35.38676852108972,0,1,1,0.18,2.53,1,0,4,20
40.47493023897255,1,1,1,0.88,0.09,1,0,10,13
35.285095421445774,1,1,1,0.28,0.68,0,0,9,0
31.34402650632868,1,1,1,0.25,1.37,0,0,12,3
34.829275288796275,1,1,0,0.28,2.49,1,0,10,8
19.814075080563867,1,1,1,0.3,1.35,0,0,11,12
40.89330726334702,1,1,1,0.05,1.27,0,0,7,8
47.46893575059952,1,1,1,0.43,0.61,0,0,1,20
39.688396351985226,1,1,1,0.85,0.99,1,0,4,17
48.54726796125175,1,0,1,0.87,1.11,1,0,2,8
40.81029080979808,0,1,1,0.38,0.77,0,0,1,4
29.04405295297565,1,1,1,0.89,0.26,1,0,9,12
55.33749226858852,1,1,1,0.72,1.35,1,0,3,18
37.46927119263575,1,1,1,0.15,0.45,0,0,2,18
43.52612572355936,1,1,1,0.49,1.65,0,0,6,13
51.94662665619247,1,1,1,0.48,0.55,0,0,11,19
30.878534591760637,1,1,1,0.21,1.68,0,0,3,1
32.51997986882032,0,1,1,0.01,1.05,0,0,11,3
55.42718123128053,1,1,1,0.92,0.5,1,0,12,19
35.698877101436146,1,1,1,0.61,0.25,1,0,2,19
42.18901910858855,1,0,1,0.47,1.02,0,0,10,11
33.418865069083054,1,1,1,0.77,0.98,1,0,5,0
32.36789223416462,1,1,1,0.59,0.01,0,0,9,1
30.02546133075983,1,1,1,0.11,0.07,0,1,6,20
41.92475322947689,0,1,1,0.21,3.76,1,0,4,23
58.40448778372215,1,1,0,0.21,3.41,1,0,12,4
36.64855156828942,0,1,1,0.37,0.38,0,0,7,21
28.67071686170665,1,1,1,0.25,1.31,0,1,5,21
44.971717274651866,1,0,1,0.63,0.68,1,0,3,8
37.71785584069072,1,1,1,0.51,0.7,0,0,8,14
43.32568870823045,0,0,1,0.41,4.67,1,0,9,9
43.523915317636565,1,1,1,0.96,1.91,1,0,4,13
40.81459524986148,1,1,1,0.49,0.14,0,0,12,0
38.46203936405072,1,1,1,0.97,2.46,1,0,5,15
42.91879287703436,1,1,1,0.49,1.47,0,0,1,6
33.29368468235347,1,1,1,0.97,0.82,1,0,5,19
33.288833186982274,1,1,1,0.03,1.13,0,1,9,18
32.77147971842278,1,1,1,0.17,2.7,1,0,8,3
36.89746252992454,1,1,1,0.86,0.31,1,0,10,5
58.1141723207672,0,1,1,0.43,1.2,0,0,11,10
55.127158361292224,1,1,1,0.56,1.0,0,0,10,11
44.79453903460156,1,1,1,0.26,0.83,0,0,1,14
44.96471978546655,1,1,1,0.78,2.93,1,0,6,10
32.96127115058781,0,1,0,0.67,0.48,1,0,7,5
57.7002227148768,1,1,1,0.46,4.48,1,0,12,13
42.07247911729884,1,1,1,0.78,0.65,1,0,4,7
22.728754151137803,1,1,1,0.35,0.56,0,0,2,15
36.62066684397726,0,1,0,0.2,0.63,0,0,7,10
40.86130707053843,1,1,1,0.18,1.88,0,0,6,6
41.71149170736969,1,1,1,0.07,0.76,0,0,6,23
32.119164726315866,1,1,1,0.34,0.36,0,0,5,6
40.54368070157282,1,1,1,0.29,1.91,0,0,8,15
33.05425598588118,1,1,0,0.89,1.33,1,0,12,13
26.448951252897174,0,1,1,0.62,0.13,1,0,12,5
44.85847758825137,0,1,1,0.25,0.12,0,0,8,12
26.97557414500705,1,1,0,0.52,1.44,0,0,5,20
56.370202418701695,0,1,0,0.74,1.59,1,0,10,10
55.80748809240269,1,1,1,0.77,0.36,1,0,7,21
16.226145106672387,0,0,1,0.21,2.82,1,0,2,21
51.179156554516254,1,1,1,0.23,0.04,0,0,9,16
37.89553881941299,1,0,1,0.89,0.07,1,0,4,10
41.23839446169059,1,1,0,0.65,0.29,1,0,7,14
25.35204682803,1,1,1,0.06,1.58,0,1,4,9
