ph,nitrogenio,fosforo,postassio,probabilidade_precipitacao,chuva_3h,bloqueio_meteorológico,estado_bomba,mes,hora
5.951293994051801,1,1,1,0.87,0.23,1,0,7,0
6.631771195454329,1,1,1,0.48,0.46,0,0,11,20
5.854138620576401,1,1,1,1.0,0.89,1,0,10,6
6.94222447563592,1,0,1,0.56,0.14,0,0,4,21
7.29897623683857,1,1,1,0.67,1.82,1,0,6,18
7.161018345258985,1,0,1,0.94,0.25,1,0,7,21
5.69988958896667,1,1,1,0.49,4.34,1,0,11,23
6.142279437184927,1,1,1,0.03,0.95,0,0,11,4
5.854041363349094,1,1,1,0.88,0.49,1,0,12,8
6.876086687540784,1,1,0,0.97,1.54,1,0,8,21
6.303309514328332,1,1,1,0.19,0.05,0,0,9,23
5.829766897172005,1,0,1,0.62,0.34,1,0,8,21
5.934993154780345,1,1,1,0.7,1.2,1,0,2,15
6.55962411489511,1,1,1,0.63,0.86,1,0,7,14
7.265462131041632,1,1,1,0.52,1.74,0,0,10,18
5.334424582317802,0,1,1,0.08,1.47,0,0,5,17
5.280993130893719,1,1,1,0.93,2.2,1,0,1,22
6.7411298437663305,1,1,0,0.19,0.54,0,0,2,5
6.205567329041944,1,1,1,0.87,0.06,1,0,3,22
6.52339503439346,0,1,1,0.95,0.11,1,0,1,8
6.489568869452986,1,1,1,0.62,0.11,1,0,2,19
6.749482712215442,0,0,1,0.28,0.51,0,0,9,14
5.776352716275334,1,0,1,0.46,1.03,0,0,8,19
5.643587721101261,0,1,1,0.02,0.54,0,0,7,9
6.403360079854132,0,1,1,0.66,0.55,1,0,9,10
6.71611943739904,1,1,1,0.18,1.42,0,0,6,11
7.041986176213447,1,1,1,0.47,0.85,0,0,12,20
7.624909532003725,1,1,0,0.19,0.39,0,0,1,18
7.030063333741312,1,1,1,0.96,0.29,1,0,1,8
7.013913971515196,1,1,1,0.94,1.21,1,0,9,22
6.7125628494612375,1,1,0,0.9,1.15,1,0,3,16
5.734125702452089,1,0,1,0.18,0.28,0,0,2,2
6.755800287948072,1,1,0,0.28,0.0,0,0,6,4
5.9143532729495325,1,1,1,0.3,0.17,0,0,11,2
5.100045957924798,1,1,1,0.75,0.86,1,0,12,1
7.05739196150475,1,1,1,0.6,0.47,1,0,10,16
6.714400017333163,1,1,1,0.25,0.3,0,0,1,9
5.851516393739207,1,1,1,0.97,0.21,1,0,5,21
5.543598967503085,1,1,1,0.59,2.91,1,0,4,12
5.844081187259355,0,1,1,0.91,0.21,1,0,10,3
5.889951894987496,1,1,1,0.38,0.66,0,0,4,2
4.995767783677415,1,0,1,0.63,0.73,1,0,2,1
6.58812908931903,1,1,1,0.04,0.8,0,1,11,0
6.48701277598967,1,1,1,0.3,4.56,1,0,4,22
6.578685908941065,1,1,1,0.23,2.21,1,0,12,15
5.643704737508196,0,1,1,0.18,2.53,1,0,4,20
6.288613668205866,1,1,1,0.88,0.09,1,0,10,13
6.771830871676417,1,1,1,0.28,0.68,0,0,9,0
7.085657438392972,1,1,1,0.25,1.37,0,0,12,3
6.903448976599332,1,1,0,0.28,2.49,1,0,10,8
6.855958476170028,1,1,1,0.3,1.35,0,0,11,12
5.989272815049591,1,1,1,0.05,1.27,0,0,7,8
5.652308066080708,1,1,1,0.43,0.61,0,0,1,20
6.236727218447871,1,1,1,0.85,0.99,1,0,4,17
5.648424502993676,1,0,1,0.87,1.11,1,0,2,8
7.232373956238147,0,1,1,0.38,0.77,0,0,1,4
6.688607392532076,1,1,1,0.89,0.26,1,0,9,12
6.060863528940079,1,1,1,0.72,1.35,1,0,3,18
6.197934208761709,1,1,1,0.15,0.45,0,0,2,18
5.984422986731799,1,1,1,0.49,1.65,0,0,6,13
6.660755861011435,1,1,1,0.48,0.55,0,0,11,19
7.249051702646601,1,1,1,0.21,1.68,0,0,3,1
7.400939704746699,0,1,1,0.01,1.05,0,0,11,3
7.67225315670001,1,1,1,0.92,0.5,1,0,12,19
8.064577065110289,1,1,1,0.61,0.25,1,0,2,19
6.492157611597861,1,0,1,0.47,1.02,0,0,10,11
6.952531103558128,1,1,1,0.77,0.98,1,0,5,0
7.510112182131975,1,1,1,0.59,0.01,0,0,9,1
6.206060288552453,1,1,1,0.11,0.07,0,1,6,20
6.457817711836718,0,1,1,0.21,3.76,1,0,4,23
6.19557326040915,1,1,0,0.21,3.41,1,0,12,4
5.981819854753812,0,1,1,0.37,0.38,0,0,7,21
6.483863134364081,1,1,1,0.25,1.31,0,1,5,21
4.847314516355016,1,0,1,0.63,0.68,1,0,3,8
5.7815598026053525,1,1,1,0.51,0.7,0,0,8,14
6.07426678630263,0,0,1,0.41,4.67,1,0,9,9
7.423830242930687,1,1,1,0.96,1.91,1,0,4,13
5.336600341776612,1,1,1,0.49,0.14,0,0,12,0
6.793328823083959,1,1,1,0.97,2.46,1,0,5,15
7.156795466971445,1,1,1,0.49,1.47,0,0,1,6
7.727026028242969,1,1,1,0.97,0.82,1,0,5,19
6.128614631631777,1,1,1,0.03,1.13,0,1,9,18
7.071510098496617,1,1,1,0.17,2.7,1,0,8,3
7.328551899257854,1,1,1,0.86,0.31,1,0,10,5
7.174026342296303,0,1,1,0.43,1.2,0,0,11,10
6.581344014632697,1,1,1,0.56,1.0,0,0,10,11
6.392407017016802,1,1,1,0.26,0.83,0,0,1,14
6.711841096556484,1,1,1,0.78,2.93,1,0,6,10
5.560250017045286,0,1,0,0.67,0.48,1,0,7,5
7.285946817088759,1,1,1,0.46,4.48,1,0,12,13
7.364756633391628,1,1,1,0.78,0.65,1,0,4,7
5.791633667466207,1,1,1,0.35,0.56,0,0,2,15
5.571697426545377,0,1,0,0.2,0.63,0,0,7,10
6.755556985355777,1,1,1,0.18,1.88,0,0,6,6
5.558178598268617,1,1,1,0.07,0.76,0,0,6,23
5.686521515346939,1,1,1,0.34,0.36,0,0,5,6
5.47143264265497,1,1,1,0.29,1.91,0,0,8,15
6.992213739287197,1,1,0,0.89,1.33,1,0,12,13
6.720092696378696,0,1,1,0.62,0.13,1,0,12,5
6.165411219929156,0,1,1,0.25,0.12,0,0,8,12
5.442165884227974,1,1,0,0.52,1.44,0,0,5,20
5.873132264092863,0,1,0,0.74,1.59,1,0,10,10
7.821773488023505,1,1,1,0.77,0.36,1,0,7,21
6.964259953132291,0,0,1,0.21,2.82,1,0,2,21
6.844927526908303,1,1,1,0.23,0.04,0,0,9,16
6.080725828554709,1,0,1,0.89,0.07,1,0,4,10
6.034003108658658,1,1,0,0.65,0.29,1,0,7,14
6.350559151460142,1,1,1,0.06,1.58,0,1,4,9
6.395063963271834,1,0,0,0.06,0.43,0,0,3,14
6.925011345070231,1,0,1,0.57,1.73,0,0,11,11
7.315451404492509,1,1,1,0.36,1.54,0,0,9,16
6.375376708604923,1,1,0,0.88,0.12,1,0,6,20
5.583968857940742,0,0,1,0.27,0.14,0,0,12,12
7.384871324032487,1,1,1,0.48,0.33,0,0,5,9
6.960114762508123,1,1,1,0.07,1.4,0,0,2,20
7.0848923144507525,1,0,1,0.89,0.09,1,0,3,12
5.576767648499896,1,1,1,0.62,3.12,1,0,3,16
6.935007182651109,1,1,1,0.02,0.3,0,0,10,5
6.972445207495067,1,1,1,0.29,0.44,0,0,2,23
6.47379327212136,0,1,1,0.12,1.39,0,0,2,4
6.690840624050114,0,1,1,0.63,1.37,1,0,9,2
5.756147727818589,1,1,1,0.05,3.86,1,0,1,6
5.01592126963267,1,1,0,0.68,0.75,1,0,9,21
