insumo_id,nome,cultura,custo_reais,ganho_ton_ha,eficiencia
0,Fertilizante-00,Café,3309.05,9.309,2.8132
1,Fertilizante-01,Café,7630.36,2.973,0.3896
2,Semente-02,Milho,5989.95,1.443,0.2409
3,Defensivo-03,Milho,4989.94,14.259,2.8575
4,Defensivo-04,Café,1670.14,14.502,8.6831
5,Defensivo-05,Soja,1669.96,12.222,7.3187
6,Fertilizante-06,Soja,935.63,4.917,5.2553
7,Corretivo-07,Cana,6996.32,1.916,0.2739
8,Fertilizante-08,Soja,5008.36,10.421,2.0807
9,Corretivo-09,Café,5810.54,6.882,1.1844
10,Irrigação-10,Café,654.38,2.27,3.4689
11,Fertilizante-11,Trigo,7774.32,7.68,0.9879
12,Fertilizante-12,Café,6743.32,0.999,0.1481
13,Fertilizante-13,Soja,2092.54,13.685,6.5399
14,Defensivo-14,Cana,1863.69,4.252,2.2815
15,Defensivo-15,Trigo,1875.53,10.107,5.3889
16,Corretivo-16,Soja,2781.82,5.02,1.8046
17,Corretivo-17,Cana,4435.67,8.041,1.8128
18,Fertilizante-18,Soja,3739.59,8.427,2.2535
19,Corretivo-19,Trigo,2684.22,3.18,1.1847
20,Defensivo-20,Café,5088.9,14.559,2.8609
21,Corretivo-21,Trigo,1546.2,11.739,7.5922
22,Irrigação-22,Café,2691.08,14.123,5.2481
23,Defensivo-23,Trigo,3247.71,13.475,4.1491
24,Irrigação-24,Milho,3920.52,9.17,2.339
25,Corretivo-25,Soja,6388.82,13.867,2.1705
26,Semente-26,Soja,1997.55,1.783,0.8926
27,Fertilizante-27,Milho,4356.76,3.342,0.7671
28,Defensivo-28,Café,4943.11,1.156,0.2339
29,Irrigação-29,Soja,848.38,5.217,6.1494
